Geolocation,Major Occupation,year,quarter,Female,Male
NCR,Elementary Occupations,2020,Q4,272.487,549.273
REGION V,Service and Sales Workers,2021,Q3,272.36633333333333,140.05433333333335
REGION V,Service and Sales Workers,2020,Q3,271.35,158.725
NCR,Professionals,2019,Q4,271.257,247.756
REGION VII,Elementary Occupations,2019,Q1,270.176,487.384
REGION III,Elementary Occupations,2018,Q4,269.662,784.946
REGION VII,Elementary Occupations,2018,Q1,269.463,541.437
REGION IVA,Clerical Support Workers,2021,Q2,269.337,180.3183333333333
REGION IVA,Managers,2019,Q4,268.865,391.476
REGION X,Service and Sales Workers,2020,Q4,268.756,134.402
REGION VI,Elementary Occupations,2020,Q4,267.595,728.174
REGION XII,Service and Sales Workers,2021,Q4,266.09633333333335,138.87466666666668
REGION VII,Service and Sales Workers,2021,Q1,265.973,283.7803333333333
REGION X,Elementary Occupations,2020,Q2,265.563,463.558
REGION X,Service and Sales Workers,2020,Q3,265.434,124.831
REGION VII,Service and Sales Workers,2018,Q3,265.298,210.593
REGION X,Elementary Occupations,2018,Q2,265.237,446.78
NCR,Professionals,2020,Q1,265.06,207.701
REGION X,Service and Sales Workers,2019,Q2,264.372,137.224
REGION X,Service and Sales Workers,2019,Q1,264.093,104.196
REGION VII,Service and Sales Workers,2020,Q2,262.383,233.7
REGION VI,Elementary Occupations,2019,Q2,262.243,633.595
REGION VIII,Service and Sales Workers,2021,Q3,259.85833333333335,124.54233333333332
REGION XI,Service and Sales Workers,2019,Q4,259.464,158.614
REGION XII,Elementary Occupations,2020,Q1,258.579,441.964
REGION VI,Elementary Occupations,2020,Q2,258.555,597.466
REGION X,Elementary Occupations,2018,Q4,258.499,420.206
REGION II,Elementary Occupations,2018,Q2,258.17,370.164
REGION IVA,Professionals,2020,Q1,257.569,141.51
REGION VII,Service and Sales Workers,2018,Q1,257.353,219.993
REGION VII,Elementary Occupations,2019,Q3,256.553,444.202
REGION III,Managers,2019,Q1,256.309,363.944
REGION X,Service and Sales Workers,2019,Q4,256.118,153.617
REGION V,Service and Sales Workers,2019,Q1,255.585,137.074
REGION XII,Elementary Occupations,2021,Q3,255.273,426.25966666666665
REGION VII,Elementary Occupations,2019,Q4,254.682,495.244
REGION IVA,Clerical Support Workers,2020,Q2,252.45,128.7
REGION IVA,Clerical Support Workers,2018,Q4,250.943,189.449
REGION IVA,Professionals,2019,Q3,250.816,122.185
REGION III,Elementary Occupations,2021,Q1,250.46366666666668,975.058
NCR,Professionals,2021,Q2,250.4416666666667,178.50333333333333
REGION V,Elementary Occupations,2018,Q1,250.282,554.908
REGION VII,Elementary Occupations,2020,Q1,250.066,482.936
REGION VIII,Service and Sales Workers,2021,Q4,249.45533333333333,142.01866666666666
NCR,Professionals,2019,Q1,249.356,199.141
